court,casenum,file_date,top_ct_desc,top_ct_statute
BEAVER,CF-2017-00048,2017-10-31,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
BEAVER,CF-2018-00007,2018-04-10,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2018-00008,2018-04-10,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2018-00012,2018-06-05,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS (METHAMPHE,NA
BEAVER,CF-2018-00031,2018-11-14,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2019-00004,2019-01-30,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2019-00014,2019-06-07,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2019-00015,2019-06-07,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2019-00024,2019-10-22,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2019-00026,2019-12-11,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2020-00003,2020-02-14,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BECKHAM,CF-2017-00066,2017-02-23,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00163,2017-05-16,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00175,2017-05-25,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00175,2017-05-25,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00175,2017-05-25,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00255,2017-07-11,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00259,2017-07-18,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00264,2017-07-18,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00285,2017-08-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00286,2017-08-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00287,2017-08-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00288,2017-08-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00299,2017-08-31,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00353,2017-11-07,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2017-00371,2017-11-16,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00026,2018-01-30,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00027,2018-01-30,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00063,2018-04-03,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00087,2018-05-31,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00145,2018-08-28,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00146,2018-08-28,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00147,2018-08-28,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00152,2018-09-05,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00204,2018-10-23,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00237,2018-11-21,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2018-00247,2018-12-06,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00003,2019-01-02,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00004,2019-01-02,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00005,2019-01-02,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00006,2019-01-02,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00008,2019-01-03,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00009,2019-01-03,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00021,2019-01-11,TRAFFICKING,NA
BECKHAM,CF-2019-00051,2019-01-28,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00052,2019-01-28,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00058,2019-01-28,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00060,2019-01-29,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00067,2019-02-05,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00069,2019-02-05,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00070,2019-02-05,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00104,2019-03-19,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00166,2019-05-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00241,2019-08-08,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00257,2019-09-04,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00293,2019-10-07,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00295,2019-10-15,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00296,2019-10-15,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00301,2019-10-18,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00315,2019-11-04,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00316,2019-11-04,TRAFFICKING IN ILLEGAL DRUGS,NA
BECKHAM,CF-2019-00357,2019-12-26,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2017-00077,2017-12-12,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2018-00013,2018-01-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2018-00073,2018-07-31,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2018-00119,2018-12-31,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2019-00022,2019-03-14,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2019-00026,2019-04-09,TRAFFICKING IN ILLEGAL DRUGS,NA
BLAINE,CF-2019-00079,2019-10-08,TRAFFICKING IN ILLEGAL DRUGS,NA
BRISTOW,CF-2020-00017,2020-01-13,TRAFFICKING IN ILLEGAL DRUGS,NA
BRISTOW,CF-2020-00019,2020-01-15,TRAFFICKING IN ILLEGAL DRUGS,NA
BRISTOW,CF-2020-00028,2020-01-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BRISTOW,CF-2020-00029,2020-01-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2017-00007,2017-01-03,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2017-00102,2017-02-06,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2017-00222,2017-03-27,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2017-00281,2017-04-20,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2018-00041,2018-01-24,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2018-00069,2018-02-13,TRAFFICKING IN ILLEGAL DRUGS-METHAMPHETAMINE-AFCF,NA
BRYAN,CF-2018-00106,2018-03-08,TRAFFICKING IN ILLEGAL DRUGS W/IN 2000 FT OF A SCH,NA
BRYAN,CF-2018-00146,2018-04-02,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
BRYAN,CF-2018-00147,2018-04-02,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
BRYAN,CF-2018-00196,2018-05-07,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2018-00197,2018-05-07,TRAFFICKING METHAMPHETAMINE - AFCF,NA
BRYAN,CF-2018-00279,2018-07-09,TRAFFICKING METHAMPHETAMINE - AFCF,NA
BRYAN,CF-2018-00311,2018-07-26,TRAFFICKING IN METHAMPHETAMINE-AFCF,NA
BRYAN,CF-2018-00312,2018-07-27,AGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2018-00470,2018-10-30,TRAFFICKING IN METHAMPHETAMINE-AFCF,NA
BRYAN,CF-2018-00486,2018-11-06,TRAFFICKING IN METHAMPHETAMINE-AFCF,NA
BRYAN,CF-2018-00487,2018-11-06,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2018-00492,2018-11-07,TRAFFICKING IN ILLEGAL DRUGS-METHAMPHETAMINE-AFCF,NA
BRYAN,CF-2018-00524,2018-11-19,TRAFFICKING METHAMPHETAMINE - AFCF,NA
BRYAN,CF-2019-00028,2019-01-18,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00037,2019-01-28,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00101,2019-03-04,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00102,2019-03-04,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00139,2019-03-21,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00152,2019-04-01,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00180,2019-04-17,TRAFFICKING COCAINE,NA
BRYAN,CF-2019-00190,2019-04-29,TRAFFICKING IN METHAMPHETAMINE-AFCF,NA
BRYAN,CF-2019-00225,2019-06-06,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
BRYAN,CF-2019-00228,2019-06-10,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00239,2019-06-18,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
BRYAN,CF-2019-00240,2019-06-18,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00257,2019-07-03,TRAFFICKING IN ILLEGAL DRUGS - METHAMPHETAMINE,NA
BRYAN,CF-2019-00297,2019-07-30,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00298,2019-07-30,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00300,2019-07-31,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00324,2019-08-13,TRAFFICKING METHAMPHETAMINE - AFCF,NA
BRYAN,CF-2019-00326,2019-08-15,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00340,2019-08-29,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00341,2019-08-29,TRAFFICKING METHAMPHETAMINE,NA
BRYAN,CF-2019-00456,2019-11-27,TRAFFICKING METHAMPHETAMINE - AFCF,NA
BRYAN,CF-2019-00457,2019-11-27,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2019-00457,2019-11-27,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2020-00003,2020-01-06,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2020-00026,2020-01-23,TRAFFICKING IN ILLEGAL DRUGS,NA
BRYAN,CF-2020-00054,2020-02-24,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
CADDO,CF-2017-00023,2017-01-24,"TRAFFICKING IN ILLEGAL DRUGS, AFTER PRIOR CONVICTI",NA
CADDO,CF-2017-00092,2017-03-23,TRAFFICKING ILLEGAL DRUGS-METHYLENEDIOXY METHAMPHE,NA
CADDO,CF-2017-00118,2017-04-11,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00119,2017-04-11,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00158,2017-05-22,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00189,2017-06-08,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00190,2017-06-08,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00217,2017-07-03,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00218,2017-07-03,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2017-00339,2017-11-03,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2018-00184,2018-08-09,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2018-00256,2018-10-24,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2018-00290,2018-12-13,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
CADDO,CF-2018-00305,2018-12-27,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00008,2019-01-14,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00009,2019-01-14,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00010,2019-01-14,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00047,2019-03-08,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00048,2019-03-11,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00051,2019-03-19,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00146,2019-07-17,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00194,2019-09-25,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00195,2019-09-25,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00213,2019-10-10,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00224,2019-11-04,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00233,2019-11-13,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2019-00234,2019-11-13,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00003,2020-01-09,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00004,2020-01-09,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00007,2020-01-14,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00008,2020-01-14,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00009,2020-01-15,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00011,2020-01-15,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00012,2020-01-15,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00013,2020-01-15,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00016,2020-01-21,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00017,2020-01-21,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00021,2020-01-27,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00031,2020-02-18,TRAFFICKING IN ILLEGAL DRUGS,NA
CADDO,CF-2020-00033,2020-02-19,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
CANADIAN,CF-2017-00032,2017-01-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00033,2017-01-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00034,2017-01-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00050,2017-01-25,TRAFFICKING IN ILLEGAL DRUGS (MARIJUANA),63.2.415
CANADIAN,CF-2017-00104,2017-02-14,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00125,2017-02-17,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00138,2017-02-23,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00175,2017-03-07,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS *METH*,63.2.415.C
CANADIAN,CF-2017-00176,2017-03-08,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00177,2017-03-08,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00204,2017-03-15,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00205,2017-03-15,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00219,2017-03-17,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00243,2017-03-22,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00244,2017-03-22,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00251,2017-03-23,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00266,2017-04-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00267,2017-04-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00279,2017-04-05,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00299,2017-04-13,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00300,2017-04-13,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00326,2017-04-20,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00327,2017-04-20,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00389,2017-05-04,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00390,2017-05-04,AGGRAVATED TRAFFICKING IN ILLGAL DRUGS,63.2.415
CANADIAN,CF-2017-00438,2017-05-25,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00439,2017-05-25,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00472,2017-06-12,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00473,2017-06-12,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00502,2017-06-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00503,2017-06-19,TRAFFICKING IN ILLEGAL DRUGS,"63.2.415.C.1.a.,2.416"
CANADIAN,CF-2017-00504,2017-06-21,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00505,2017-06-21,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00506,2017-06-21,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00513,2017-06-22,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.4.C
CANADIAN,CF-2017-00514,2017-06-22,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.4.C
CANADIAN,CF-2017-00523,2017-06-27,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00546,2017-07-10,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00547,2017-07-10,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00550,2017-07-10,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00551,2017-07-10,DRUG TRAFFICKING MARIHUANA 25 LBS OR MORE (NOT USING MV),63.2.415
CANADIAN,CF-2017-00554,2017-07-12,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00584,2017-07-25,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00586,2017-07-25,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00587,2017-07-25,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00592,2017-07-26,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00596,2017-07-27,TRAFFICKING IN ILLEGAL DRUGS (SEE AMENDED INFORMATOIN),63.2.415.4.C
CANADIAN,CF-2017-00597,2017-07-27,TRAFFICKING ILLEGAL DRUGS (SEE AMENDED INFORMATION),63.2.415.4.c
CANADIAN,CF-2017-00598,2017-07-27,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00628,2017-08-18,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00642,2017-08-21,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00700,2017-09-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00701,2017-09-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00702,2017-09-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00703,2017-09-19,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00728,2017-09-26,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00744,2017-10-03,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00745,2017-10-03,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00776,2017-10-12,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00818,2017-10-30,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00820,2017-10-30,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00831,2017-11-02,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00832,2017-11-02,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00833,2017-11-02,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
CANADIAN,CF-2017-00845,2017-11-09,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00847,2017-11-14,CONSPIRACY TO COMMIT AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,21.421
CANADIAN,CF-2017-00854,2017-11-16,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
CANADIAN,CF-2017-00869,2017-11-20,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
